"Marca temporal","¿A qué grupo de edad perteneces?","¿Cuál es tu sexo?","¿Con qué frecuencia compras ropa, calzado o accesorios a lo largo del año? ","¿Cómo realizas normalmente tus compras de moda?","¿Cuál es tu gasto mensual aproximado en moda?","¿Qué redes sociales utilizas habitualmente?","¿Qué marcas de moda ves con más frecuencia en redes sociales?  Selecciona un máximo de 3 opciones   ","¿Cuánto tiempo pasas al día en las redes sociales?","¿Con qué frecuencia consumes contenido relacionado con moda en redes sociales?  ","¿Sigues a influencers o creadores de contenido de moda?  ","Las redes sociales influyen en mis decisiones de compra de moda.  ","He comprado ropa o accesorios después de verlos en redes sociales.  ","Descubro nuevas marcas de moda gracias a las redes sociales.  ","Ver contenido de moda en redes aumenta mis ganas de comprar.  ","A veces compro prendas después de verlas repetidamente en redes sociales, aunque realmente no las necesite. ","Las redes sociales influyen más en mis compras de moda que la publicidad tradicional.","Me atrae comprar prendas que están de moda en ese momento.  ","A veces compro ropa por impulso.","Me influye ver que muchas personas llevan una prenda o una marca concreta.  ","Suelo interesarme por productos o prendas virales en redes sociales.  ","Creo que las redes sociales aceleran la difusión de tendencias de moda.  ","Las redes sociales favorecen un consumo rápido y constante de moda.  ","He comprado prendas por tendencia o por influencia de redes que después apenas he usado.  ","Confío en las recomendaciones de influencers de moda.","Si un creador de contenido me parece auténtico, es más probable que compre lo que recomienda.  ","Creo que muchos influencers recomiendan productos solo por interés comercial.  ","En los últimos 6 meses, ¿has comprado alguna prenda o accesorio por influencia de redes sociales?  ","Si has respondido sí, ¿con qué frecuencia te ocurre?  ","¿Qué marcas te han influido más en alguna compra después de verlas en redes sociales? Selecciona un máximo de 3 opciones","En general, quedo satisfecho/a con las compras de moda que realizo tras ver contenido en redes sociales.  ","Me he arrepentido alguna vez de comprar ropa que había visto previamente en las redes sociales.  ","Seguiré comprando moda influido/a por contenido que vea en redes sociales.  ","Recomendaría comprar productos de moda descubiertos en redes sociales.  "
"2026/03/16 12:40:23 a. m. EET","18 - 28 años","Mujer","3","2","30 - 60€","Instagram;TikTok","Zara;Shein;Otra","4","4","5","5","5","5","5","5","5","4","4","5","4","5","5","5","3","3","4","Sí","3","Zara","4","3","4","4"
"2026/03/16 12:45:09 a. m. EET","18 - 28 años","Mujer","4","4","30 - 60€","Instagram;TikTok;YouTube;Pinterest;Otra","Zara;Shein;Mango","4","2","2","4","4","4","4","2","4","3","4","2","3","5","5","2","3","4","4","Sí","3","Zara;Shein;Mango","4","2","4","4"
"2026/03/16 12:51:29 a. m. EET","45 - 55 años","Hombre","2","3","61 - 100€","YouTube;X (Twitter)","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","1","1","3","1","2","1","1","1","1","4","No","","Ninguna","3","1","1","3"
"2026/03/16 12:54:56 a. m. EET","18 - 28 años","Mujer","3","2","30 - 60€","Instagram;TikTok;YouTube;Pinterest","Zara;Shein;Otra","2","2","2","5","3","3","3","2","5","4","2","4","3","5","5","3","2","3","5","Sí","2","Otra","2","5","2","3"
"2026/03/16 12:58:03 a. m. EET","18 - 28 años","Hombre","2","5","Menos de 30€","Instagram;YouTube;X (Twitter)","Zara;Shein;Otra","3","2","2","2","1","2","3","1","1","1","1","2","2","5","5","1","1","3","5","No","","Ninguna","1","1","1","1"
"2026/03/16 7:31:34 a. m. EET","18 - 28 años","Mujer","3","5","Menos de 30€","Instagram","Zara;Mango","4","3","3","3","3","5","5","3","5","3","2","3","4","5","5","1","4","3","5","No","","Zara;Mango;Otra","3","2","2","4"
"2026/03/16 8:06:32 a. m. EET","56 años o más","Mujer","4","2","61 - 100€","Instagram;TikTok","Massimo Dutti;Otra","1","2","2","2","2","3","3","3","4","2","2","1","1","5","5","1","1","2","5","No","","Massimo Dutti","3","3","1","2"
"2026/03/16 8:22:00 a. m. EET","56 años o más","Hombre","2","5","30 - 60€","Instagram;TikTok;YouTube;Facebook;X (Twitter)","No me fijo en marcas concretas","2","1","1","1","2","3","1","1","1","2","1","1","1","3","4","2","1","1","5","No","","Zara;Mango;Otra","2","4","2","2"
"2026/03/16 8:53:35 a. m. EET","29 - 44 años","Mujer","5","1","61 - 100€","Instagram","Zara;Mango","1","1","1","3","4","4","4","4","5","4","3","2","2","4","5","3","2","1","5","Sí","2","Zara;Mango;Otra","4","1","3","3"
"2026/03/16 9:39:56 a. m. EET","18 - 28 años","Mujer","3","4","30 - 60€","Instagram;TikTok;YouTube;Pinterest","Zara;Otra","4","3","3","3","3","4","3","4","3","4","2","4","4","5","5","4","3","2","5","No","","Ninguna","4","5","3","4"
"2026/03/16 10:26:36 a. m. EET","18 - 28 años","Hombre","4","5","Menos de 30€","Instagram;YouTube","Otra","3","4","5","3","1","1","1","1","2","1","3","3","1","4","5","1","3","4","5","No","","Ninguna","3","1","1","3"
"2026/03/16 10:30:44 a. m. EET","18 - 28 años","Mujer","5","4","101 - 200€","Instagram;TikTok;Pinterest;X (Twitter)","Zara;Shein;H&M","3","5","5","5","5","5","5","5","5","5","5","3","3","5","5","5","2","5","5","Sí","4","Zara;Shein","3","4","4","5"
"2026/03/16 11:31:03 a. m. EET","18 - 28 años","Mujer","4","4","30 - 60€","Instagram;TikTok;YouTube;Pinterest","Zara;Shein;Otra","3","5","5","5","5","5","5","5","5","5","3","5","5","5","5","1","4","5","5","Sí","4","Zara;Otra","5","2","5","5"
"2026/03/16 11:48:30 a. m. EET","18 - 28 años","Mujer","4","3","30 - 60€","Instagram;TikTok;Pinterest","Zara","4","2","1","3","4","4","4","3","3","3","3","3","3","4","4","3","2","3","4","Sí","3","Zara","3","3","3","3"
"2026/03/16 12:36:32 p. m. EET","56 años o más","Hombre","2","1","30 - 60€","No utilizo redes sociales","Otra","1","1","1","1","1","1","1","1","2","1","1","1","1","2","4","1","1","1","1","No","","Massimo Dutti;Otra","1","5","1","1"
"2026/03/16 1:54:14 p. m. EET","18 - 28 años","Mujer","3","3","61 - 100€","Instagram;Pinterest","Zara;H&M;Otra","2","4","2","4","4","4","4","2","4","4","3","2","3","5","5","2","4","4","4","Sí","3","Zara;Otra","4","4","4","3"
"2026/03/16 2:12:42 p. m. EET","56 años o más","Mujer","1","5","Menos de 30€","No utilizo redes sociales","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","1","1","1","1","5","5","1","1","1","5","No","1","Ninguna","1","1","1","1"
"2026/03/16 2:20:44 p. m. EET","56 años o más","Hombre","1","5","Menos de 30€","No utilizo redes sociales","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","1","1","1","1","5","5","1","1","1","5","No","","Ninguna","1","1","1","1"
"2026/03/16 3:43:25 p. m. EET","18 - 28 años","Hombre","4","1","101 - 200€","Instagram;TikTok;YouTube","Otra","2","1","1","3","4","4","4","2","1","5","1","2","3","3","5","1","1","1","5","No","1","Ninguna","4","4","2","2"
"2026/03/16 4:38:13 p. m. EET","18 - 28 años","Hombre","1","5","Menos de 30€","Instagram;YouTube","No me fijo en marcas concretas","4","2","1","2","1","4","1","1","1","1","1","4","1","5","5","2","1","4","5","No","","Ninguna","3","1","1","1"
"2026/03/16 6:15:48 p. m. EET","18 - 28 años","Mujer","3","5","61 - 100€","Instagram;TikTok;Pinterest","Zara;Shein;Mango","4","4","4","4","3","3","5","4","3","4","4","4","3","3","5","3","2","2","5","No","","Zara;Mango;Otra","5","2","3","3"
"2026/03/16 6:22:15 p. m. EET","18 - 28 años","Mujer","3","4","Menos de 30€","TikTok;X (Twitter)","Zara","4","3","2","3","5","3","5","3","5","4","2","3","4","5","5","4","2","5","5","Sí","2","Zara","5","2","3","4"
"2026/03/16 6:34:44 p. m. EET","45 - 55 años","Hombre","1","1","Menos de 30€","No utilizo redes sociales","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","1","1","1","1","5","5","1","1","3","5","No","1","Ninguna","1","5","1","1"
"2026/03/16 6:57:46 p. m. EET","18 - 28 años","Mujer","3","3","61 - 100€","Instagram;TikTok;YouTube","Zara;Mango","2","4","4","4","4","4","4","4","5","4","2","4","4","4","4","2","3","4","4","No","3","Zara;Mango;Massimo Dutti","4","2","3","3"
"2026/03/16 7:19:32 p. m. EET","18 - 28 años","Mujer","3","3","30 - 60€","Instagram;TikTok;YouTube;Pinterest;X (Twitter)","Zara;Otra","3","3","2","2","2","3","3","2","3","4","3","2","3","4","4","3","3","4","4","Sí","1","Zara;Mango","4","2","3","3"
"2026/03/16 8:50:57 p. m. EET","29 - 44 años","Mujer","5","1","30 - 60€","Instagram","No me fijo en marcas concretas","4","2","2","4","4","4","3","4","4","5","5","5","4","5","4","5","5","5","4","No","","Zara","4","2","4","4"
"2026/03/16 11:20:15 p. m. EET","18 - 28 años","Hombre","2","4","Menos de 30€","Instagram;YouTube","Otra","4","1","2","4","3","3","3","3","3","4","3","2","2","3","3","3","3","3","3","No","4","Otra","4","3","3","3"
"2026/03/17 12:05:12 a. m. EET","18 - 28 años","Mujer","4","1","30 - 60€","Instagram;TikTok;YouTube;Pinterest;X (Twitter)","Zara;Shein;Otra","3","4","3","5","5","5","5","4","5","5","3","3","5","5","5","5","4","5","3","Sí","4","Shein;Otra","4","3","5","5"
"2026/03/17 12:05:13 a. m. EET","18 - 28 años","Mujer","2","3","Menos de 30€","Instagram;TikTok;Pinterest","Zara;Shein;Massimo Dutti","2","4","4","3","3","5","4","2","4","3","1","1","2","5","5","3","3","4","5","No","","Zara","3","4","3","2"
"2026/03/17 12:08:59 a. m. EET","18 - 28 años","Hombre","3","3","Menos de 30€","Instagram;TikTok;Pinterest;X (Twitter)","Zara;Otra","4","5","5","5","5","5","5","4","4","5","4","4","5","5","5","4","4","5","5","Sí","3","Zara;Otra","4","4","3","3"
"2026/03/17 12:58:51 a. m. EET","18 - 28 años","Mujer","3","5","30 - 60€","Instagram;TikTok;YouTube;Pinterest;X (Twitter)","Zara;Shein;Otra","4","3","4","5","5","5","5","5","5","5","5","5","5","5","5","5","3","4","5","Sí","2","Otra","4","5","4","4"
"2026/03/17 1:00:58 a. m. EET","18 - 28 años","Hombre","2","4","Menos de 30€","Instagram;YouTube;X (Twitter)","Zara;Shein","3","1","1","3","3","4","4","3","5","4","3","4","4","5","5","3","2","3","5","No","","Ninguna","4","2","4","3"
"2026/03/17 9:27:52 a. m. EET","18 - 28 años","Mujer","3","4","Menos de 30€","Instagram;TikTok;YouTube","Zara;Shein;Otra","4","4","3","4","5","5","4","5","5","4","3","4","5","5","5","2","3","5","4","Sí","3","Shein;Otra","3","3","4","4"
"2026/03/17 9:03:25 p. m. EET","18 - 28 años","Mujer","3","4","Menos de 30€","Instagram;TikTok","Zara;Shein","4","4","4","5","5","5","5","4","3","3","1","3","3","5","5","2","1","4","5","No","","Shein","4","5","3","3"
"2026/03/18 10:16:09 a. m. EET","29 - 44 años","Hombre","5","4","30 - 60€","Instagram;YouTube;Pinterest","Zara;Otra","2","4","4","3","4","5","3","1","4","4","2","1","1","5","5","1","3","4","5","No","","Otra","4","4","5","3"
"2026/03/19 12:35:05 p. m. EET","56 años o más","Mujer","5","5","30 - 60€","No utilizo redes sociales","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","3","2","1","1","5","5","1","1","5","5","No","1","Ninguna","3","1","1","1"
"2026/03/19 5:26:18 p. m. EET","45 - 55 años","Mujer","5","4","101 - 200€","Facebook","Zara;Mango","2","1","1","2","1","3","4","2","2","2","3","4","4","4","4","3","4","3","5","No","","Otra","4","3","3","3"
"2026/03/19 5:28:06 p. m. EET","45 - 55 años","Hombre","3","1","30 - 60€","Instagram;X (Twitter)","Zara;No me fijo en marcas concretas","3","2","1","2","3","3","2","2","2","2","3","1","3","3","3","2","1","1","2","Sí","2","Ninguna","3","2","2","2"
"2026/03/19 5:29:00 p. m. EET","18 - 28 años","Hombre","1","5","Menos de 30€","Instagram;TikTok;YouTube","Zara;Otra","3","1","2","1","2","2","2","2","2","3","3","2","2","3","1","1","1","2","2","No","","Zara","3","1","1","2"
"2026/03/19 5:36:29 p. m. EET","29 - 44 años","Mujer","4","3","101 - 200€","Instagram;YouTube","Zara;Shein;Otra","2","3","4","3","4","4","4","3","3","4","5","3","3","5","5","3","4","4","4","Sí","3","Zara;Otra","3","5","4","4"
"2026/03/19 5:44:01 p. m. EET","56 años o más","Hombre","1","5","Menos de 30€","Instagram;Facebook","No me fijo en marcas concretas","2","1","1","3","2","2","2","2","2","3","1","2","2","5","5","2","1","1","5","No","","Otra","3","2","1","3"
"2026/03/19 5:44:25 p. m. EET","45 - 55 años","Mujer","3","4","30 - 60€","Instagram;TikTok;YouTube;Pinterest;Facebook;X (Twitter)","Zara;Shein;Mango","3","4","2","3","3","5","4","3","2","4","2","4","4","4","4","2","3","4","4","Sí","3","Zara;Shein;Mango","4","3","2","3"
"2026/03/19 6:04:13 p. m. EET","18 - 28 años","Mujer","5","2","61 - 100€","Instagram;TikTok","Zara;Shein","5","5","5","4","5","5","4","5","5","5","5","4","5","5","5","5","4","5","3","Sí","3","Zara;Massimo Dutti","4","3","4","4"
"2026/03/19 6:08:02 p. m. EET","56 años o más","Mujer","5","5","30 - 60€","Instagram;Facebook","Zara;Massimo Dutti","1","1","2","1","1","1","1","1","1","1","2","1","1","3","3","1","1","1","5","No","","Ninguna","1","1","1","1"
"2026/03/19 6:15:35 p. m. EET","45 - 55 años","Mujer","3","2","30 - 60€","Instagram;YouTube","Zara","1","3","4","3","4","5","5","2","5","2","4","1","2","4","1","1","1","1","5","Sí","3","Otra","4","1","3","3"
"2026/03/19 7:05:41 p. m. EET","56 años o más","Mujer","3","5","101 - 200€","Instagram;Pinterest","Zara;Massimo Dutti","1","4","2","4","4","4","4","4","4","4","4","3","2","4","2","1","1","4","4","Sí","1","Ninguna","2","1","4","1"
"2026/03/19 7:54:38 p. m. EET","45 - 55 años","Mujer","5","5","30 - 60€","Instagram","Zara;Shein;Massimo Dutti","1","2","3","1","1","3","4","2","2","5","3","1","1","5","5","1","3","4","5","No","","Zara;Shein;Massimo Dutti","4","1","2","3"
"2026/03/19 8:33:17 p. m. EET","45 - 55 años","Mujer","2","5","Menos de 30€","Instagram","No me fijo en marcas concretas","3","1","1","1","1","3","1","1","1","1","2","1","1","5","5","1","1","1","5","No","","Ninguna","1","1","1","1"
"2026/03/19 9:08:24 p. m. EET","45 - 55 años","Mujer","3","1","30 - 60€","YouTube","Shein;Mango","1","1","1","1","2","3","2","3","2","4","5","3","3","5","5","2","3","3","5","No","","Shein","3","5","3","3"
"2026/03/19 9:37:08 p. m. EET","45 - 55 años","Hombre","5","3","30 - 60€","No utilizo redes sociales","Zara;Otra","1","2","2","2","2","3","2","2","1","2","1","2","1","2","2","2","1","1","3","Sí","1","Zara;Otra","2","2","2","2"
"2026/03/19 9:51:38 p. m. EET","45 - 55 años","Mujer","4","3","Menos de 30€","Instagram","Zara;Mango;Otra","2","4","1","4","5","5","4","1","4","3","1","4","2","5","5","3","4","4","5","No","","Otra","4","5","4","4"
"2026/03/19 9:52:10 p. m. EET","45 - 55 años","Hombre","3","3","30 - 60€","Instagram;No utilizo redes sociales","No me fijo en marcas concretas","2","1","1","2","2","2","3","1","2","4","3","3","1","4","4","1","1","1","1","No","","Ninguna","1","1","2","3"
"2026/03/19 10:05:50 p. m. EET","45 - 55 años","Mujer","3","4","61 - 100€","YouTube","No me fijo en marcas concretas","1","1","1","2","1","1","1","2","2","3","2","2","2","4","3","3","2","3","5","No","","Ninguna","2","2","2","3"
"2026/03/19 10:12:25 p. m. EET","45 - 55 años","Mujer","3","5","Menos de 30€","Instagram;Facebook","Zara;Mango","2","2","2","3","2","2","3","2","1","2","2","2","1","4","5","1","1","2","5","No","2","Zara;Mango","3","2","2","2"
"2026/03/19 10:15:38 p. m. EET","18 - 28 años","Mujer","2","3","Menos de 30€","X (Twitter)","Shein;No me fijo en marcas concretas","2","1","1","2","2","1","2","1","5","1","1","1","2","5","5","1","1","1","1","No","1","Ninguna","2","1","2","3"
"2026/03/19 10:16:40 p. m. EET","56 años o más","Mujer","5","5","30 - 60€","Instagram;Facebook;Otra","Zara;Mango;Massimo Dutti","2","4","1","4","4","4","4","2","3","1","4","1","1","4","5","1","2","3","5","No","","Zara;Massimo Dutti;Otra","2","1","2","3"
"2026/03/19 10:28:02 p. m. EET","45 - 55 años","Mujer","4","4","61 - 100€","Facebook","No me fijo en marcas concretas","2","3","1","2","2","2","2","1","1","2","1","1","1","4","4","2","1","2","5","No","","Ninguna","1","1","1","2"
"2026/03/19 10:42:04 p. m. EET","45 - 55 años","Mujer","5","3","Más de 200€","TikTok","Zara;Massimo Dutti;Otra","2","3","5","4","5","5","5","4","4","3","4","4","3","4","4","4","3","4","4","Sí","3","Zara;Massimo Dutti","3","3","3","3"
"2026/03/19 10:44:58 p. m. EET","45 - 55 años","Mujer","5","5","61 - 100€","Instagram;TikTok;YouTube;Facebook","Zara;Shein;H&M","5","4","2","4","4","5","4","1","5","1","1","2","1","5","5","1","3","5","5","No","","Zara;H&M;Otra","4","1","1","4"
"2026/03/19 10:51:54 p. m. EET","45 - 55 años","Hombre","5","3","Más de 200€","Instagram;TikTok;YouTube;Facebook;X (Twitter)","Zara;Mango;Massimo Dutti","2","3","2","1","1","2","2","2","1","2","5","4","2","1","2","1","2","2","2","Sí","2","Zara;Mango;Massimo Dutti","2","2","2","2"
"2026/03/19 10:56:31 p. m. EET","45 - 55 años","Mujer","5","5","101 - 200€","Instagram;YouTube","Zara;Shein;H&M","3","5","5","5","5","5","5","2","2","5","5","3","3","5","5","5","1","3","5","Sí","3","Zara;Shein;H&M","4","3","5","3"
"2026/03/19 10:56:36 p. m. EET","56 años o más","Mujer","5","3","61 - 100€","No utilizo redes sociales","Zara;Shein;Otra","1","2","1","1","1","1","3","1","1","4","3","2","1","5","5","1","1","1","5","No","1","Zara;Mango","2","1","1","1"
"2026/03/19 10:59:06 p. m. EET","45 - 55 años","Mujer","3","5","30 - 60€","Instagram","Zara;Mango;Otra","1","2","2","2","2","3","4","3","4","3","2","1","1","3","3","1","2","1","5","No","","Zara;Mango;Otra","3","3","2","3"
"2026/03/19 11:01:26 p. m. EET","29 - 44 años","Mujer","3","2","61 - 100€","Instagram;YouTube;Pinterest","Mango;Otra","2","4","1","2","4","5","5","2","5","3","2","3","2","5","5","1","1","4","5","No","","Otra","4","1","3","3"
"2026/03/19 11:05:39 p. m. EET","29 - 44 años","Mujer","4","3","30 - 60€","Instagram;TikTok;YouTube;Facebook","Zara;Shein;Mango","4","2","2","2","3","4","3","3","2","3","4","4","3","4","5","3","4","2","2","No","","Otra","3","3","3","4"
"2026/03/19 11:11:44 p. m. EET","45 - 55 años","Hombre","3","3","30 - 60€","Instagram;YouTube;Facebook","No me fijo en marcas concretas","1","2","1","5","5","5","5","5","5","2","3","3","3","5","5","1","1","1","5","Sí","2","Ninguna","3","3","3","3"
"2026/03/19 11:28:51 p. m. EET","29 - 44 años","Hombre","2","2","Menos de 30€","Instagram","No me fijo en marcas concretas","2","1","1","1","1","4","1","1","1","2","1","4","1","4","4","1","3","3","3","No","","Ninguna","3","3","3","3"
"2026/03/19 11:47:11 p. m. EET","29 - 44 años","Mujer","5","2","101 - 200€","Instagram;TikTok;Pinterest;X (Twitter)","Zara;Mango","2","3","3","3","4","4","4","3","4","4","5","3","4","5","4","3","3","5","4","Sí","4","Zara;Mango;H&M","3","5","3","3"
"2026/03/19 11:53:36 p. m. EET","45 - 55 años","Mujer","5","5","30 - 60€","Instagram;TikTok","Zara;Otra","1","2","4","4","4","5","5","3","3","3","3","4","4","5","5","3","4","5","5","Sí","3","Zara;Shein;Otra","5","3","5","5"
"2026/03/20 12:00:13 a. m. EET","18 - 28 años","Mujer","3","3","30 - 60€","Instagram;TikTok;Pinterest","Zara;Shein","3","3","3","4","2","5","5","4","5","5","1","5","3","5","5","3","2","2","5","No","1","Zara;Shein","3","2","3","3"
"2026/03/20 12:36:27 a. m. EET","29 - 44 años","Mujer","4","4","61 - 100€","Instagram;YouTube;Pinterest;Facebook","Zara;Shein;Mango","3","4","5","4","4","4","4","4","2","4","4","4","3","5","5","4","4","3","4","Sí","3","Zara;Mango;Otra","4","4","3","5"
"2026/03/20 12:51:05 a. m. EET","29 - 44 años","Mujer","3","4","30 - 60€","Instagram;TikTok","Zara;Otra","5","4","3","3","4","4","3","2","2","4","4","4","3","5","5","4","3","4","5","Sí","1","Zara;Otra","3","3","3","4"
"2026/03/20 1:02:58 a. m. EET","29 - 44 años","Hombre","3","4","61 - 100€","YouTube","Shein;No me fijo en marcas concretas","3","1","1","3","2","4","4","2","4","4","3","5","3","5","5","2","3","4","4","No","","Otra","2","2","3","3"
"2026/03/20 1:06:58 a. m. EET","18 - 28 años","Mujer","3","2","Menos de 30€","Instagram;TikTok;YouTube;Pinterest","Zara;Mango;H&M","2","3","5","3","4","5","5","2","5","4","4","5","5","5","5","4","5","5","4","Sí","3","Zara;Shein;Mango","4","3","5","5"
"2026/03/20 6:53:12 a. m. EET","45 - 55 años","Mujer","3","2","30 - 60€","Instagram;YouTube;Facebook","Shein;No me fijo en marcas concretas","1","2","1","1","4","4","4","2","4","4","2","4","1","5","4","2","1","1","5","Sí","1","Shein;Otra","2","4","2","3"
"2026/03/20 7:22:33 a. m. EET","45 - 55 años","Mujer","4","3","61 - 100€","Instagram;Facebook;X (Twitter)","Zara;H&M","2","2","2","2","2","3","3","5","3","3","4","3","4","4","5","2","3","4","4","No","","Zara;Mango;H&M","3","2","3","3"
"2026/03/20 8:51:35 a. m. EET","29 - 44 años","Mujer","3","5","Menos de 30€","Instagram;TikTok","Shein","2","2","1","2","1","1","1","1","1","2","1","1","1","3","2","1","1","2","3","No","","Shein","3","1","1","2"
"2026/03/20 9:08:35 a. m. EET","29 - 44 años","Mujer","5","1","101 - 200€","No utilizo redes sociales","No me fijo en marcas concretas","1","2","1","1","1","3","2","1","1","2","2","4","2","5","5","3","1","2","5","No","1","Ninguna","1","1","1","1"
"2026/03/20 9:22:46 a. m. EET","29 - 44 años","Hombre","2","1","61 - 100€","TikTok;YouTube;X (Twitter)","Shein;H&M","3","2","2","2","3","2","3","2","4","1","2","2","2","4","4","3","3","4","5","Sí","1","Shein","3","5","3","4"
"2026/03/20 9:23:11 a. m. EET","18 - 28 años","Mujer","5","3","Menos de 30€","Instagram","Zara;Mango","2","3","3","3","4","4","4","4","5","5","3","3","4","5","5","3","2","3","3","No","","Zara;Shein","2","3","3","2"
"2026/03/20 10:10:37 a. m. EET","18 - 28 años","Mujer","3","4","30 - 60€","Instagram;TikTok","Zara;Shein;Otra","3","4","4","4","3","3","4","2","4","4","3","4","3","5","5","3","2","4","5","Sí","1","Zara;Shein","4","3","3","3"
"2026/03/20 10:16:08 a. m. EET","29 - 44 años","Mujer","3","3","61 - 100€","Instagram;TikTok;YouTube;Facebook","Zara;Shein;H&M","2","3","3","3","3","4","3","3","3","3","1","2","3","4","1","2","2","2","4","Sí","3","Zara;Shein;H&M","3","4","4","4"
"2026/03/20 10:17:35 a. m. EET","18 - 28 años","Mujer","2","3","Menos de 30€","Instagram;TikTok","Zara;Shein","3","1","1","1","2","1","1","1","1","1","1","1","1","5","5","1","1","1","5","No","","Ninguna","1","1","1","1"
"2026/03/20 10:54:37 a. m. EET","56 años o más","Mujer","5","5","Menos de 30€","TikTok;Facebook","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","3","3","2","1","2","3","1","1","2","5","No","","Zara","1","1","1","1"
"2026/03/20 10:54:50 a. m. EET","18 - 28 años","Hombre","2","2","61 - 100€","Instagram;TikTok;YouTube","Zara;Otra","5","3","3","5","4","5","1","1","5","4","1","4","5","5","5","2","3","2","5","Sí","2","Zara;Otra","4","1","4","5"
"2026/03/20 11:05:22 a. m. EET","29 - 44 años","Hombre","2","3","30 - 60€","TikTok;X (Twitter)","No me fijo en marcas concretas","2","2","1","3","3","4","3","1","5","4","1","5","2","5","4","1","1","1","5","No","","Ninguna","2","1","2","2"
"2026/03/20 11:12:31 a. m. EET","18 - 28 años","Hombre","3","5","61 - 100€","Instagram;YouTube;X (Twitter)","Zara;Shein","4","2","1","3","4","4","4","2","4","4","2","4","4","5","5","4","2","4","5","Sí","2","Otra","3","2","3","3"
"2026/03/20 11:35:54 a. m. EET","18 - 28 años","Mujer","3","2","Menos de 30€","Instagram;TikTok;YouTube;Pinterest","Zara;Shein","5","2","1","3","4","3","4","4","4","2","2","2","2","5","5","4","2","4","5","No","","Ninguna","2","5","2","2"
"2026/03/20 11:36:19 a. m. EET","29 - 44 años","Mujer","4","2","Menos de 30€","Instagram;TikTok;Pinterest","Zara;Shein;Mango","2","3","3","3","3","4","4","4","4","3","3","2","3","4","4","3","4","4","4","Sí","3","Zara;Shein;Mango","4","4","4","4"
"2026/03/20 11:38:03 a. m. EET","18 - 28 años","Mujer","2","4","Menos de 30€","Instagram;TikTok","Zara;Shein","2","3","2","4","3","3","4","2","3","4","2","3","3","4","4","2","3","4","4","No","","Zara;Shein;H&M","4","4","3","3"
"2026/03/20 11:39:03 a. m. EET","18 - 28 años","Mujer","2","2","Menos de 30€","Instagram;TikTok;YouTube","Shein","4","2","2","2","2","4","2","3","1","1","2","2","2","4","4","1","1","4","5","No","","Ninguna","2","2","1","1"
"2026/03/20 11:44:14 a. m. EET","18 - 28 años","Mujer","4","4","30 - 60€","Instagram;TikTok;YouTube;Pinterest","Shein;Otra","4","2","1","3","5","4","3","2","3","3","3","2","3","4","4","3","3","4","4","No","2","Shein;Otra","4","4","4","4"
"2026/03/20 11:44:37 a. m. EET","18 - 28 años","Hombre","4","4","30 - 60€","Instagram;Pinterest","Zara;Mango;H&M","2","1","2","4","4","4","4","2","5","4","4","2","4","4","3","5","4","4","5","Sí","2","Zara;Mango;H&M","3","4","4","5"
"2026/03/20 11:47:27 a. m. EET","18 - 28 años","Hombre","2","2","30 - 60€","Instagram;TikTok;YouTube;X (Twitter)","Otra","4","3","2","3","3","4","3","3","4","3","2","3","2","5","5","3","2","4","5","No","","Ninguna","4","2","3","3"
"2026/03/20 11:50:30 a. m. EET","45 - 55 años","Mujer","4","5","Menos de 30€","Instagram","No me fijo en marcas concretas","2","2","2","1","4","3","2","3","2","3","3","2","2","4","4","2","2","4","5","Sí","1","Otra","2","4","2","2"
"2026/03/20 11:50:36 a. m. EET","29 - 44 años","Mujer","4","3","Menos de 30€","Instagram;TikTok;Pinterest;Facebook","Zara;H&M;Otra","3","5","5","4","4","5","4","2","4","3","3","3","4","5","5","1","3","4","2","Sí","2","Zara","5","1","2","4"
"2026/03/20 11:53:02 a. m. EET","29 - 44 años","Mujer","3","3","Menos de 30€","Instagram;TikTok;X (Twitter)","Shein","4","5","5","4","5","5","5","4","5","5","3","3","3","5","5","4","2","3","5","Sí","2","Shein;Otra","3","2","3","3"
"2026/03/20 12:03:41 p. m. EET","18 - 28 años","Mujer","3","2","Menos de 30€","Instagram;TikTok;YouTube;X (Twitter)","No me fijo en marcas concretas","4","3","4","4","3","5","4","2","5","3","2","4","3","5","5","1","3","5","4","No","","Otra","4","2","5","3"
"2026/03/20 12:04:10 p. m. EET","29 - 44 años","Mujer","3","1","61 - 100€","TikTok;YouTube;X (Twitter)","Zara;Mango;Otra","3","3","3","3","4","4","4","3","4","2","1","1","3","4","4","2","2","3","5","No","","Zara;Otra","4","1","3","3"
"2026/03/20 12:31:42 p. m. EET","18 - 28 años","Mujer","2","4","Menos de 30€","Instagram;TikTok;YouTube","Zara;Shein;Otra","4","2","2","2","1","3","1","1","2","3","1","1","2","4","4","1","3","3","5","No","","Ninguna","2","2","1","3"
"2026/03/20 12:35:52 p. m. EET","18 - 28 años","Hombre","2","4","Menos de 30€","Instagram","No me fijo en marcas concretas","2","1","1","3","1","1","2","1","3","3","2","3","3","5","5","1","1","1","5","No","","Ninguna","1","1","1","1"
